"category","cause","var","value","multiplier"
"age","Influenza and Pneumonia","dep","Yes",1
"age","Influenza and Pneumonia","dep","No",1
"age","Influenza and Pneumonia","can","Yes",1
"age","Influenza and Pneumonia","can","No",1
"age","Influenza and Pneumonia","alz","Yes",1
"age","Influenza and Pneumonia","alz","No",1
"age","Influenza and Pneumonia","fcvd","Yes",1
"age","Influenza and Pneumonia","fcvd","No",1
"age","Influenza and Pneumonia","fcopd","Yes",1
"age","Influenza and Pneumonia","fcopd","No",1
"age","Influenza and Pneumonia","fdia","Yes",1
"age","Influenza and Pneumonia","fdia","No",1
"age","Influenza and Pneumonia","fdep","Yes",1
"age","Influenza and Pneumonia","fdep","No",1
"age","Influenza and Pneumonia","fcan","Yes",1
"age","Influenza and Pneumonia","fcan","No",1
"age","Influenza and Pneumonia","falz","Yes",1
"age","Influenza and Pneumonia","falz","No",1
"age","Kidney Diseases","sex","Male",1
"age","Kidney Diseases","sex","Female",1
"age","Kidney Diseases","race","White",1
"age","Kidney Diseases","race","Black",0.93
"age","Kidney Diseases","race","Asian",1.1
"age","Kidney Diseases","race","Native American",0.85
"age","Kidney Diseases","race","Other",1
"age","Kidney Diseases","wbr","East Asia & Pacific",1.035
"age","Kidney Diseases","wbr","Europe & Central Asia",1.065
"age","Kidney Diseases","wbr","Latin America & Caribbean",1.022
"age","Kidney Diseases","wbr","Middle East & North Africa",1.007
"age","Kidney Diseases","wbr","North America",1.078
"age","Kidney Diseases","wbr","South Asia",0.96
"age","Kidney Diseases","wbr","Sub-Saharan Africa",0.834
"age","Kidney Diseases","inc","Poor",0.975
"age","Kidney Diseases","inc","Lower-middle",1
"age","Kidney Diseases","inc","Middle",1
"age","Kidney Diseases","inc","Upper-middle",1
"age","Kidney Diseases","inc","Rich",1
"age","Kidney Diseases","edu","No Formal Schooling",0.964
"age","Kidney Diseases","edu","Primary Education (Elementary School)",0.982
"age","Kidney Diseases","edu","Secondary Education (High School)",1
"age","Kidney Diseases","edu","Tertiary Education (Bachelor's degree, Professional, Occupational, Technical or Vocational program",1.018
"age","Kidney Diseases","edu","Master's degree",1.036
"age","Kidney Diseases","edu","Doctoral degree",1.054
"age","Kidney Diseases","hsd","0",0.65
"age","Kidney Diseases","hsd","1",0.83
"age","Kidney Diseases","hsd","2",0.86
"age","Kidney Diseases","hsd","3",0.89
"age","Kidney Diseases","hsd","4",0.92
"age","Kidney Diseases","hsd","5",0.95
"age","Kidney Diseases","hsd","6",0.98
"age","Kidney Diseases","hsd","7",1
"age","Kidney Diseases","hsd","8",0.98
"age","Kidney Diseases","hsd","9",0.95
"age","Kidney Diseases","hsd","10",0.92
"age","Kidney Diseases","hsd","11",0.89
"age","Kidney Diseases","hsd","12",0.86
"age","Kidney Diseases","hsd","13",0.83
"age","Kidney Diseases","hsd","14",0.8
"age","Kidney Diseases","hsd","15",0.77
"age","Kidney Diseases","hsd","16",0.74
"age","Kidney Diseases","hsd","17",0.74
"age","Kidney Diseases","hsd","18",0.74
"age","Kidney Diseases","hsd","19",0.74
"age","Kidney Diseases","hsd","20",0.74
"age","Kidney Diseases","hsd","21",0.74
"age","Kidney Diseases","hsd","22",0.74
"age","Kidney Diseases","hsd","23",0.74
"age","Kidney Diseases","hsd","24",0.74
"age","Kidney Diseases","sys","Normal (SBP <120 mmHG)",1
"age","Kidney Diseases","sys","Elevated (SBP 120-129 mmHG)",0.984
"age","Kidney Diseases","sys","High Blood Pressure Stage 1 (SBP 130-140 mmHG)",0.967
"age","Kidney Diseases","sys","High Blood Pressure Stage 2 (SBP >140 mmHG)",0.934
"age","Kidney Diseases","bmi","Underweight (<18.5)",0.936
"age","Kidney Diseases","bmi","Normal Weight (18.5-24.9)",1
"age","Kidney Diseases","bmi","Overweight (25-29.9)",0.977
"age","Kidney Diseases","bmi","Obese (>30)",0.951
"age","Kidney Diseases","hbp","Yes",1
"age","Kidney Diseases","hbp","No",1
"age","Kidney Diseases","hbc","Yes",1
"age","Kidney Diseases","hbc","No",1
"age","Kidney Diseases","cvd","Yes",1
"age","Kidney Diseases","cvd","No",1
"age","Kidney Diseases","copd","Yes",1
"age","Kidney Diseases","copd","No",1
"age","Kidney Diseases","dia","Yes",1
"age","Kidney Diseases","dia","No",1
"age","Kidney Diseases","dep","Yes",1
"age","Kidney Diseases","dep","No",1
"age","Kidney Diseases","can","Yes",1
"age","Kidney Diseases","can","No",1
"age","Kidney Diseases","alz","Yes",1
"age","Kidney Diseases","alz","No",1
"age","Kidney Diseases","fcvd","Yes",1
"age","Kidney Diseases","fcvd","No",1
"age","Kidney Diseases","fcopd","Yes",1
"age","Kidney Diseases","fcopd","No",1
"age","Kidney Diseases","fdia","Yes",1
"age","Kidney Diseases","fdia","No",1
"age","Kidney Diseases","fdep","Yes",1
"age","Kidney Diseases","fdep","No",1
"age","Kidney Diseases","fcan","Yes",1
"age","Kidney Diseases","fcan","No",1
"age","Kidney Diseases","falz","Yes",1
"age","Kidney Diseases","falz","No",1
"age","Suicide","sex","Male",1
"age","Suicide","sex","Female",1
"age","Suicide","race","White",1
"age","Suicide","race","Black",0.93
"age","Suicide","race","Asian",1.1
"age","Suicide","race","Native American",0.85
"age","Suicide","race","Other",1
"age","Suicide","wbr","East Asia & Pacific",1.035
"age","Suicide","wbr","Europe & Central Asia",1.065
"age","Suicide","wbr","Latin America & Caribbean",1.022
"age","Suicide","wbr","Middle East & North Africa",1.007
"age","Suicide","wbr","North America",1.078
"age","Suicide","wbr","South Asia",0.96
"age","Suicide","wbr","Sub-Saharan Africa",0.834
"age","Suicide","inc","Poor",0.975
"age","Suicide","inc","Lower-middle",1
"age","Suicide","inc","Middle",1
"age","Suicide","inc","Upper-middle",1
"age","Suicide","inc","Rich",1
"age","Suicide","edu","No Formal Schooling",0.964
"age","Suicide","edu","Primary Education (Elementary School)",0.982
"age","Suicide","edu","Secondary Education (High School)",1
"age","Suicide","edu","Tertiary Education (Bachelor's degree, Professional, Occupational, Technical or Vocational program",1.018
"age","Suicide","edu","Master's degree",1.036
"age","Suicide","edu","Doctoral degree",1.054
"age","Suicide","hsd","0",0.65
"age","Suicide","hsd","1",0.83
"age","Suicide","hsd","2",0.86
"age","Suicide","hsd","3",0.89
"age","Suicide","hsd","4",0.92
"age","Suicide","hsd","5",0.95
"age","Suicide","hsd","6",0.98
"age","Suicide","hsd","7",1
"age","Suicide","hsd","8",0.98
"age","Suicide","hsd","9",0.95
"age","Suicide","hsd","10",0.92
"age","Suicide","hsd","11",0.89
"age","Suicide","hsd","12",0.86
"age","Suicide","hsd","13",0.83
"age","Suicide","hsd","14",0.8
"age","Suicide","hsd","15",0.77
"age","Suicide","hsd","16",0.74
"age","Suicide","hsd","17",0.74
"age","Suicide","hsd","18",0.74
"age","Suicide","hsd","19",0.74
"age","Suicide","hsd","20",0.74
"age","Suicide","hsd","21",0.74
"age","Suicide","hsd","22",0.74
"age","Suicide","hsd","23",0.74
"age","Suicide","hsd","24",0.74
"age","Suicide","sys","Normal (SBP <120 mmHG)",1
"age","Suicide","sys","Elevated (SBP 120-129 mmHG)",1
"age","Suicide","sys","High Blood Pressure Stage 1 (SBP 130-140 mmHG)",1
"age","Suicide","sys","High Blood Pressure Stage 2 (SBP >140 mmHG)",1
"age","Suicide","bmi","Underweight (<18.5)",1
"age","Suicide","bmi","Normal Weight (18.5-24.9)",1
"age","Suicide","bmi","Overweight (25-29.9)",1
"age","Suicide","bmi","Obese (>30)",1
"age","Suicide","hbp","Yes",1
"age","Suicide","hbp","No",1
"age","Suicide","hbc","Yes",1
"age","Suicide","hbc","No",1
"age","Suicide","cvd","Yes",1
"age","Suicide","cvd","No",1
"age","Suicide","copd","Yes",1
"age","Suicide","copd","No",1
"age","Suicide","dia","Yes",1
"age","Suicide","dia","No",1
"age","Suicide","dep","Yes",1
"age","Suicide","dep","No",1
"age","Suicide","can","Yes",1
"age","Suicide","can","No",1
"age","Suicide","alz","Yes",1
"age","Suicide","alz","No",1
"age","Suicide","fcvd","Yes",1
"age","Suicide","fcvd","No",1
"age","Suicide","fcopd","Yes",1
"age","Suicide","fcopd","No",1
"age","Suicide","fdia","Yes",1
"age","Suicide","fdia","No",1
"age","Suicide","fdep","Yes",1
"age","Suicide","fdep","No",1
"age","Suicide","fcan","Yes",1
"age","Suicide","fcan","No",1
"age","Suicide","falz","Yes",1
"age","Suicide","falz","No",1
"age","Liver Diseases","sex","Male",1
"age","Liver Diseases","sex","Female",1
"age","Liver Diseases","race","White",1
"age","Liver Diseases","race","Black",0.93
"age","Liver Diseases","race","Asian",1.1
"age","Liver Diseases","race","Native American",0.85
"age","Liver Diseases","race","Other",1
"age","Liver Diseases","wbr","East Asia & Pacific",1.035
"age","Liver Diseases","wbr","Europe & Central Asia",1.065
"age","Liver Diseases","wbr","Latin America & Caribbean",1.022
"age","Liver Diseases","wbr","Middle East & North Africa",1.007
"age","Liver Diseases","wbr","North America",1.078
"age","Liver Diseases","wbr","South Asia",0.96
"age","Liver Diseases","wbr","Sub-Saharan Africa",0.834
"age","Liver Diseases","inc","Poor",0.975
"age","Liver Diseases","inc","Lower-middle",1
"age","Liver Diseases","inc","Middle",1
"age","Liver Diseases","inc","Upper-middle",1
"age","Liver Diseases","inc","Rich",1
"age","Liver Diseases","edu","No Formal Schooling",0.964
"age","Liver Diseases","edu","Primary Education (Elementary School)",0.982
"age","Liver Diseases","edu","Secondary Education (High School)",1
"age","Liver Diseases","edu","Tertiary Education (Bachelor's degree, Professional, Occupational, Technical or Vocational program",1.018
"age","Liver Diseases","edu","Master's degree",1.036
"age","Liver Diseases","edu","Doctoral degree",1.054
"age","Liver Diseases","hsd","0",0.65
"age","Liver Diseases","hsd","1",0.83
"age","Liver Diseases","hsd","2",0.86
"age","Liver Diseases","hsd","3",0.89
"age","Liver Diseases","hsd","4",0.92
"age","Liver Diseases","hsd","5",0.95
"age","Liver Diseases","hsd","6",0.98
"age","Liver Diseases","hsd","7",1
"age","Liver Diseases","hsd","8",0.98
"age","Liver Diseases","hsd","9",0.95
"age","Liver Diseases","hsd","10",0.92
"age","Liver Diseases","hsd","11",0.89
"age","Liver Diseases","hsd","12",0.86
"age","Liver Diseases","hsd","13",0.83
"age","Liver Diseases","hsd","14",0.8
"age","Liver Diseases","hsd","15",0.77
"age","Liver Diseases","hsd","16",0.74
"age","Liver Diseases","hsd","17",0.74
"age","Liver Diseases","hsd","18",0.74
"age","Liver Diseases","hsd","19",0.74
"age","Liver Diseases","hsd","20",0.74
"age","Liver Diseases","hsd","21",0.74
"age","Liver Diseases","hsd","22",0.74
"age","Liver Diseases","hsd","23",0.74
"age","Liver Diseases","hsd","24",0.74
"age","Liver Diseases","sys","Normal (SBP <120 mmHG)",1
"age","Liver Diseases","sys","Elevated (SBP 120-129 mmHG)",0.978
"age","Liver Diseases","sys","High Blood Pressure Stage 1 (SBP 130-140 mmHG)",0.948
"age","Liver Diseases","sys","High Blood Pressure Stage 2 (SBP >140 mmHG)",0.886
"age","Liver Diseases","bmi","Underweight (<18.5)",1
"age","Liver Diseases","bmi","Normal Weight (18.5-24.9)",1
"age","Liver Diseases","bmi","Overweight (25-29.9)",0.98
"age","Liver Diseases","bmi","Obese (>30)",0.957
"age","Liver Diseases","hbp","Yes",1
"age","Liver Diseases","hbp","No",1
"age","Liver Diseases","hbc","Yes",1
"age","Liver Diseases","hbc","No",1
"age","Liver Diseases","cvd","Yes",1
"age","Liver Diseases","cvd","No",1
"age","Liver Diseases","copd","Yes",1
"age","Liver Diseases","copd","No",1
"age","Liver Diseases","dia","Yes",1
"age","Liver Diseases","dia","No",1
"age","Liver Diseases","dep","Yes",1
"age","Liver Diseases","dep","No",1
"age","Liver Diseases","can","Yes",1
"age","Liver Diseases","can","No",1
"age","Liver Diseases","alz","Yes",1
"age","Liver Diseases","alz","No",1
"age","Liver Diseases","fcvd","Yes",1
"age","Liver Diseases","fcvd","No",1
"age","Liver Diseases","fcopd","Yes",1
"age","Liver Diseases","fcopd","No",1
"age","Liver Diseases","fdia","Yes",1
"age","Liver Diseases","fdia","No",1
"age","Liver Diseases","fdep","Yes",1
"age","Liver Diseases","fdep","No",1
"age","Liver Diseases","fcan","Yes",1
"age","Liver Diseases","fcan","No",1
"age","Liver Diseases","falz","Yes",1
"age","Liver Diseases","falz","No",1
"age","Septicemia","sex","Male",1
"age","Septicemia","sex","Female",1
"age","Septicemia","race","White",1
"age","Septicemia","race","Black",0.93
"age","Septicemia","race","Asian",1.1
"age","Septicemia","race","Native American",0.85
"age","Septicemia","race","Other",1
"age","Septicemia","wbr","East Asia & Pacific",1.035
"age","Septicemia","wbr","Europe & Central Asia",1.065
"age","Septicemia","wbr","Latin America & Caribbean",1.022
"age","Septicemia","wbr","Middle East & North Africa",1.007
"age","Septicemia","wbr","North America",1.078
"age","Septicemia","wbr","South Asia",0.96
"age","Septicemia","wbr","Sub-Saharan Africa",0.834
"age","Septicemia","inc","Poor",0.975
"age","Septicemia","inc","Lower-middle",1
"age","Septicemia","inc","Middle",1
"age","Septicemia","inc","Upper-middle",1
"age","Septicemia","inc","Rich",1
"age","Septicemia","edu","No Formal Schooling",0.964
"age","Septicemia","edu","Primary Education (Elementary School)",0.982
"age","Septicemia","edu","Secondary Education (High School)",1
"age","Septicemia","edu","Tertiary Education (Bachelor's degree, Professional, Occupational, Technical or Vocational program",1.018
"age","Septicemia","edu","Master's degree",1.036
"age","Septicemia","edu","Doctoral degree",1.054
"age","Septicemia","hsd","0",0.65
"age","Septicemia","hsd","1",0.83
"age","Septicemia","hsd","2",0.86
"age","Septicemia","hsd","3",0.89
"age","Septicemia","hsd","4",0.92
"age","Septicemia","hsd","5",0.95
"age","Septicemia","hsd","6",0.98
"age","Septicemia","hsd","7",1
"age","Septicemia","hsd","8",0.98
"age","Septicemia","hsd","9",0.95
"age","Septicemia","hsd","10",0.92
"age","Septicemia","hsd","11",0.89
"age","Septicemia","hsd","12",0.86
"age","Septicemia","hsd","13",0.83
"age","Septicemia","hsd","14",0.8
"age","Septicemia","hsd","15",0.77
"age","Septicemia","hsd","16",0.74
"age","Septicemia","hsd","17",0.74
"age","Septicemia","hsd","18",0.74
"age","Septicemia","hsd","19",0.74
"age","Septicemia","hsd","20",0.74
"age","Septicemia","hsd","21",0.74
"age","Septicemia","hsd","22",0.74
"age","Septicemia","hsd","23",0.74
"age","Septicemia","hsd","24",0.74
"age","Septicemia","sys","Normal (SBP <120 mmHG)",1
"age","Septicemia","sys","Elevated (SBP 120-129 mmHG)",0.978
"age","Septicemia","sys","High Blood Pressure Stage 1 (SBP 130-140 mmHG)",0.948
"age","Septicemia","sys","High Blood Pressure Stage 2 (SBP >140 mmHG)",0.886
"age","Septicemia","bmi","Underweight (<18.5)",0.923
"age","Septicemia","bmi","Normal Weight (18.5-24.9)",1
"age","Septicemia","bmi","Overweight (25-29.9)",1
"age","Septicemia","bmi","Obese (>30)",1
"age","Septicemia","hbp","Yes",1
"age","Septicemia","hbp","No",1
"age","Septicemia","hbc","Yes",1
"age","Septicemia","hbc","No",1
"age","Septicemia","cvd","Yes",1
"age","Septicemia","cvd","No",1
"age","Septicemia","copd","Yes",1
"age","Septicemia","copd","No",1
"age","Septicemia","dia","Yes",1
"age","Septicemia","dia","No",1
"age","Septicemia","dep","Yes",1
"age","Septicemia","dep","No",1
"age","Septicemia","can","Yes",1
"age","Septicemia","can","No",1
"age","Septicemia","alz","Yes",1
"age","Septicemia","alz","No",1
"age","Septicemia","fcvd","Yes",1
"age","Septicemia","fcvd","No",1
"age","Septicemia","fcopd","Yes",1
"age","Septicemia","fcopd","No",1
"age","Septicemia","fdia","Yes",1
"age","Septicemia","fdia","No",1
"age","Septicemia","fdep","Yes",1
"age","Septicemia","fdep","No",1
"age","Septicemia","fcan","Yes",1
"age","Septicemia","fcan","No",1
"age","Septicemia","falz","Yes",1
"age","Septicemia","falz","No",1
"risk","Cardiovascular Diseases","sex","Male",1.219
"risk","Cardiovascular Diseases","sex","Female",0.816
"risk","Cardiovascular Diseases","race","White",0.98
"risk","Cardiovascular Diseases","race","Black",1.389
"risk","Cardiovascular Diseases","race","Asian",0.582
"risk","Cardiovascular Diseases","race","Native American",0.672
"risk","Cardiovascular Diseases","race","Other",1
"risk","Cardiovascular Diseases","wbr","East Asia & Pacific",1.189
"risk","Cardiovascular Diseases","wbr","Europe & Central Asia",1.888
"risk","Cardiovascular Diseases","wbr","Latin America & Caribbean",0.708
"risk","Cardiovascular Diseases","wbr","Middle East & North Africa",0.876
"risk","Cardiovascular Diseases","wbr","North America",1.181
"risk","Cardiovascular Diseases","wbr","South Asia",0.758
"risk","Cardiovascular Diseases","wbr","Sub-Saharan Africa",0.4
"risk","Cardiovascular Diseases","inc","Poor",1.42
"risk","Cardiovascular Diseases","inc","Lower-middle",1
"risk","Cardiovascular Diseases","inc","Middle",1
"risk","Cardiovascular Diseases","inc","Upper-middle",1
"risk","Cardiovascular Diseases","inc","Rich",1
"risk","Cardiovascular Diseases","edu","No Formal Schooling",1.42
"risk","Cardiovascular Diseases","edu","Primary Education (Elementary School)",1.42
"risk","Cardiovascular Diseases","edu","Secondary Education (High School)",1
"risk","Cardiovascular Diseases","edu","Tertiary Education (Bachelor's degree, Professional, Occupational, Technical or Vocational program",1
"risk","Cardiovascular Diseases","edu","Master's degree",1
"risk","Cardiovascular Diseases","edu","Doctoral degree",1
"risk","Cardiovascular Diseases","hsd","0",4.21
"risk","Cardiovascular Diseases","hsd","1",3.7
"risk","Cardiovascular Diseases","hsd","2",3.19
"risk","Cardiovascular Diseases","hsd","3",2.68
"risk","Cardiovascular Diseases","hsd","4",2.17
"risk","Cardiovascular Diseases","hsd","5",1.66
"risk","Cardiovascular Diseases","hsd","6",1.15
"risk","Cardiovascular Diseases","hsd","7",1
"risk","Cardiovascular Diseases","hsd","8",1.4
"risk","Cardiovascular Diseases","hsd","9",1.8
"risk","Cardiovascular Diseases","hsd","10",2.2
"risk","Cardiovascular Diseases","hsd","11",2.6
"risk","Cardiovascular Diseases","hsd","12",3
"risk","Cardiovascular Diseases","hsd","13",3.4
"risk","Cardiovascular Diseases","hsd","14",3.8
"risk","Cardiovascular Diseases","hsd","15",4.2
"risk","Cardiovascular Diseases","hsd","16",4.6
"risk","Cardiovascular Diseases","hsd","17",4.6
"risk","Cardiovascular Diseases","hsd","18",4.6
"risk","Cardiovascular Diseases","hsd","19",4.6
"risk","Cardiovascular Diseases","hsd","20",4.6
"risk","Cardiovascular Diseases","hsd","21",4.6
"risk","Cardiovascular Diseases","hsd","22",4.6
"risk","Cardiovascular Diseases","hsd","23",4.6
"risk","Cardiovascular Diseases","hsd","24",4.6
"risk","Cardiovascular Diseases","sys","Normal (SBP <120 mmHG)",1
"risk","Cardiovascular Diseases","sys","Elevated (SBP 120-129 mmHG)",1.16
"risk","Cardiovascular Diseases","sys","High Blood Pressure Stage 1 (SBP 130-140 mmHG)",1.34
"risk","Cardiovascular Diseases","sys","High Blood Pressure Stage 2 (SBP >140 mmHG)",1.56
"risk","Cardiovascular Diseases","bmi","Underweight (<18.5)",1.18
"risk","Cardiovascular Diseases","bmi","Normal Weight (18.5-24.9)",1
"risk","Cardiovascular Diseases","bmi","Overweight (25-29.9)",1.26
"risk","Cardiovascular Diseases","bmi","Obese (>30)",1.76
"risk","Cardiovascular Diseases","hbp","Yes",1
"risk","Cardiovascular Diseases","hbp","No",1
"risk","Cardiovascular Diseases","hbc","Yes",1.06
"risk","Cardiovascular Diseases","hbc","No",1
"risk","Cardiovascular Diseases","cvd","Yes",2.57
"risk","Cardiovascular Diseases","cvd","No",1
"risk","Cardiovascular Diseases","copd","Yes",4.98
"risk","Cardiovascular Diseases","copd","No",1
"risk","Cardiovascular Diseases","dia","Yes",2
"risk","Cardiovascular Diseases","dia","No",1
"risk","Cardiovascular Diseases","dep","Yes",1
"risk","Cardiovascular Diseases","dep","No",1
"risk","Cardiovascular Diseases","can","Yes",2.02
"risk","Cardiovascular Diseases","can","No",1
"risk","Cardiovascular Diseases","alz","Yes",1
"risk","Cardiovascular Diseases","alz","No",1
"risk","Cardiovascular Diseases","fcvd","Yes",2.5
"risk","Cardiovascular Diseases","fcvd","No",1
"risk","Cardiovascular Diseases","fcopd","Yes",1
"risk","Cardiovascular Diseases","fcopd","No",1
"risk","Cardiovascular Diseases","fdia","Yes",1
"risk","Cardiovascular Diseases","fdia","No",1
"risk","Cardiovascular Diseases","fdep","Yes",1
"risk","Cardiovascular Diseases","fdep","No",1
"risk","Cardiovascular Diseases","fcan","Yes",1
"risk","Cardiovascular Diseases","fcan","No",1
"risk","Cardiovascular Diseases","falz","Yes",1
"risk","Cardiovascular Diseases","falz","No",1
"risk","Coronary Heart Diseases","sex","Male",1.375
"risk","Coronary Heart Diseases","sex","Female",0.698
"risk","Coronary Heart Diseases","race","White",1.001
"risk","Coronary Heart Diseases","race","Black",1.233
"risk","Coronary Heart Diseases","race","Asian",0.596
"risk","Coronary Heart Diseases","race","Native American",0.941
"risk","Coronary Heart Diseases","race","Other",1
"risk","Coronary Heart Diseases","wbr","East Asia & Pacific",1.189
"risk","Coronary Heart Diseases","wbr","Europe & Central Asia",1.888
"risk","Coronary Heart Diseases","wbr","Latin America & Caribbean",0.708
"risk","Coronary Heart Diseases","wbr","Middle East & North Africa",0.876
"risk","Coronary Heart Diseases","wbr","North America",1.181
"risk","Coronary Heart Diseases","wbr","South Asia",0.758
"risk","Coronary Heart Diseases","wbr","Sub-Saharan Africa",0.4
"risk","Coronary Heart Diseases","inc","Poor",1.42
"risk","Coronary Heart Diseases","inc","Lower-middle",1
"risk","Coronary Heart Diseases","inc","Middle",1
"risk","Coronary Heart Diseases","inc","Upper-middle",1
"risk","Coronary Heart Diseases","inc","Rich",1
"risk","Coronary Heart Diseases","edu","No Formal Schooling",1.42
"risk","Coronary Heart Diseases","edu","Primary Education (Elementary School)",1.42
"risk","Coronary Heart Diseases","edu","Secondary Education (High School)",1
"risk","Coronary Heart Diseases","edu","Tertiary Education (Bachelor's degree, Professional, Occupational, Technical or Vocational program",1
"risk","Coronary Heart Diseases","edu","Master's degree",1
"risk","Coronary Heart Diseases","edu","Doctoral degree",1
"risk","Coronary Heart Diseases","hsd","0",1.42
"risk","Coronary Heart Diseases","hsd","1",1.36
"risk","Coronary Heart Diseases","hsd","2",1.3
"risk","Coronary Heart Diseases","hsd","3",1.24
"risk","Coronary Heart Diseases","hsd","4",1.18
"risk","Coronary Heart Diseases","hsd","5",1.12
"risk","Coronary Heart Diseases","hsd","6",1.06
"risk","Coronary Heart Diseases","hsd","7",1
"risk","Coronary Heart Diseases","hsd","8",1.1
"risk","Coronary Heart Diseases","hsd","9",1.3
"risk","Coronary Heart Diseases","hsd","10",1.5
"risk","Coronary Heart Diseases","hsd","11",1.7
"risk","Coronary Heart Diseases","hsd","12",1.9
"risk","Coronary Heart Diseases","hsd","13",2.1
"risk","Coronary Heart Diseases","hsd","14",2.3
"risk","Coronary Heart Diseases","hsd","15",2.5
"risk","Coronary Heart Diseases","hsd","16",2.7
"risk","Coronary Heart Diseases","hsd","17",2.7
"risk","Coronary Heart Diseases","hsd","18",2.7
"risk","Coronary Heart Diseases","hsd","19",2.7
"risk","Coronary Heart Diseases","hsd","20",2.7
"risk","Coronary Heart Diseases","hsd","21",2.7
"risk","Coronary Heart Diseases","hsd","22",2.7
"risk","Coronary Heart Diseases","hsd","23",2.7
"risk","Coronary Heart Diseases","hsd","24",2.7
"risk","Coronary Heart Diseases","sys","Normal (SBP <120 mmHG)",1
"risk","Coronary Heart Diseases","sys","Elevated (SBP 120-129 mmHG)",1.16
"risk","Coronary Heart Diseases","sys","High Blood Pressure Stage 1 (SBP 130-140 mmHG)",1.34
"risk","Coronary Heart Diseases","sys","High Blood Pressure Stage 2 (SBP >140 mmHG)",1.56
"risk","Coronary Heart Diseases","bmi","Underweight (<18.5)",1.18
"risk","Coronary Heart Diseases","bmi","Normal Weight (18.5-24.9)",1
"risk","Coronary Heart Diseases","bmi","Overweight (25-29.9)",1.26
"risk","Coronary Heart Diseases","bmi","Obese (>30)",1.76
"risk","Coronary Heart Diseases","hbp","Yes",1
"risk","Coronary Heart Diseases","hbp","No",1
"risk","Coronary Heart Diseases","hbc","Yes",1.06
"risk","Coronary Heart Diseases","hbc","No",1
"risk","Coronary Heart Diseases","cvd","Yes",2.57
"risk","Coronary Heart Diseases","cvd","No",1
"risk","Coronary Heart Diseases","copd","Yes",4.98
"risk","Coronary Heart Diseases","copd","No",1
"risk","Coronary Heart Diseases","dia","Yes",2
"risk","Coronary Heart Diseases","dia","No",1
"risk","Coronary Heart Diseases","dep","Yes",1
"risk","Coronary Heart Diseases","dep","No",1
"risk","Coronary Heart Diseases","can","Yes",2.02
"risk","Coronary Heart Diseases","can","No",1
"risk","Coronary Heart Diseases","alz","Yes",1
"risk","Coronary Heart Diseases","alz","No",1
"risk","Coronary Heart Diseases","fcvd","Yes",2.5
"risk","Coronary Heart Diseases","fcvd","No",1
"risk","Coronary Heart Diseases","fcopd","Yes",1
"risk","Coronary Heart Diseases","fcopd","No",1
"risk","Coronary Heart Diseases","fdia","Yes",1
"risk","Coronary Heart Diseases","fdia","No",1
"risk","Coronary Heart Diseases","fdep","Yes",1
"risk","Coronary Heart Diseases","fdep","No",1
"risk","Coronary Heart Diseases","fcan","Yes",1
"risk","Coronary Heart Diseases","fcan","No",1
"risk","Coronary Heart Diseases","falz","Yes",1
"risk","Coronary Heart Diseases","falz","No",1
"risk","Stroke","sex","Male",1.026
"risk","Stroke","sex","Female",0.964
"risk","Stroke","race","White",0.964
"risk","Stroke","race","Black",1.441
"risk","Stroke","race","Asian",0.809
"risk","Stroke","race","Native American",0.67
"risk","Stroke","race","Other",1
"risk","Stroke","wbr","East Asia & Pacific",1.189
"risk","Stroke","wbr","Europe & Central Asia",1.888
"risk","Stroke","wbr","Latin America & Caribbean",0.708
"risk","Stroke","wbr","Middle East & North Africa",0.876
"risk","Stroke","wbr","North America",1.181
"risk","Stroke","wbr","South Asia",0.758
"risk","Stroke","wbr","Sub-Saharan Africa",0.4
"risk","Stroke","inc","Poor",1.42
"risk","Stroke","inc","Lower-middle",1
"risk","Stroke","inc","Middle",1
"risk","Stroke","inc","Upper-middle",1
"risk","Stroke","inc","Rich",1
"risk","Stroke","edu","No Formal Schooling",1.42
"risk","Stroke","edu","Primary Education (Elementary School)",1.42
"risk","Stroke","edu","Secondary Education (High School)",1
"risk","Stroke","edu","Tertiary Education (Bachelor's degree, Professional, Occupational, Technical or Vocational program",1
"risk","Stroke","edu","Master's degree",1
"risk","Stroke","edu","Doctoral degree",1
"risk","Stroke","hsd","0",0.65
"risk","Stroke","hsd","1",2.2
"risk","Stroke","hsd","2",2
"risk","Stroke","hsd","3",1.8
"risk","Stroke","hsd","4",1.6
"risk","Stroke","hsd","5",1.4
"risk","Stroke","hsd","6",1.2
"risk","Stroke","hsd","7",1
"risk","Stroke","hsd","8",1.07
"risk","Stroke","hsd","9",1.14
"risk","Stroke","hsd","10",1.21
"risk","Stroke","hsd","11",1.28
"risk","Stroke","hsd","12",1.35
"risk","Stroke","hsd","13",1.42
"risk","Stroke","hsd","14",1.49
"risk","Stroke","hsd","15",1.56
"risk","Stroke","hsd","16",1.63
"risk","Stroke","hsd","17",1.63
"risk","Stroke","hsd","18",1.63
"risk","Stroke","hsd","19",1.63
"risk","Stroke","hsd","20",1.63
"risk","Stroke","hsd","21",1.63
"risk","Stroke","hsd","22",1.63
"risk","Stroke","hsd","23",1.63
"risk","Stroke","hsd","24",1.63
"risk","Stroke","sys","Normal (SBP <120 mmHG)",1
"risk","Stroke","sys","Elevated (SBP 120-129 mmHG)",1.3
